Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value
ENSG00000275895,U2AF1L5,1.0,5.258734268400168,1.4517425952138409e-36,0.03389830508474576,-3.332420468705005,2.2546858666401366e-05,0.03278688524590164,-3.3867637342232952,1.4171637339404323e-05,0.022727272727272728,-3.4575831942449287,0.0001636977053477982,0.037037037037037035,-2.716631751643678,0.06286931366516452,0.0,-3.2858953636426063,0.07461302868935138,0.0,-3.356219115977033,0.04093472707130917,0.0,-2.877636396994824,0.3630581682799673,0.0,-2.678663699080417,0.7237828805388079,0.0,-1.8524907488206463,1.0
ENSG00000280145,CU638689.4,0.0,-2.5992467267274044,0.055600259408220824,0.0,-0.22389601192683628,1.0,0.0,-0.27823927744512567,1.0,0.0,0.24285652389616352,1.0,0.0,0.9838079664974151,1.0,0.0,1.4214637684382767,1.0,0.0,1.3511400161038498,1.0,0.0,1.829722735086059,1.0,0.0,2.028695433000465,1.0,1.0,8.854868383260236,5.3669761249816e-10
ENSG00000280164,CU638689.5,0.0,-2.5992467267274044,0.055600259408220824,0.0,-0.22389601192683628,1.0,0.0,-0.27823927744512567,1.0,0.1590909090909091,6.242856523896163,3.896051480002972e-06,0.0,0.9838079664974151,1.0,0.0,1.4214637684382767,1.0,0.0,1.3511400161038498,1.0,0.0,1.829722735086059,1.0,0.0,2.028695433000465,1.0,0.0,2.8548683832602366,1.0
ENSG00000280018,CU634019.5,0.0,-1.9211748216147662,0.242435533082473,0.0,0.454175893185802,1.0,0.0,0.3998326276675117,1.0,0.09090909090909091,5.564784618783525,0.0004922584295526744,0.0,1.6618798716100525,1.0,0.0,2.099535673550914,1.0,0.0,2.029211921216487,1.0,0.0,2.5077946401986964,1.0,0.0,2.7067673381131034,1.0,0.0,3.532940288372874,1.0
ENSG00000273590,SMIM11B,0.0,-3.921174821614766,0.0002356217736140078,0.0,-1.545824106814198,0.8844381278545037,0.0,-1.6001673723324883,0.9314545126633448,0.0,-1.079071570991199,0.5144190537382377,0.0,-0.33812012838994754,1.0,0.95,8.74339186332564,2.790471130110894e-20,0.0,0.02921192121648719,1.0,0.0,0.5077946401986964,1.0,0.0,0.7067673381131034,1.0,0.0,1.532940288372874,1.0
ENSG00000277277,FAM243B,0.0,-1.5992467267274044,0.3991925383308168,0.0,0.7761039880731637,1.0,0.0,0.7217607225548743,1.0,0.06818181818181818,5.242856523896163,0.003335754256638362,0.0,1.983807966497415,1.0,0.0,2.4214637684382767,1.0,0.0,2.35114001610385,1.0,0.0,2.829722735086059,1.0,0.0,3.028695433000465,1.0,0.0,3.8548683832602366,1.0
ENSG00000278961,SMIM34B,0.0,-2.406601648785008,0.09115919543298365,0.0,-0.03125093398444001,1.0,0.0,-0.08559419950273028,1.0,0.13636363636363635,6.050211445953767,1.942798355982732e-05,0.0,1.1764530444398105,1.0,0.0,1.614108846380672,1.0,0.0,1.5437850940462452,1.0,0.0,2.0223678130284544,1.0,0.0,2.2213405109428614,1.0,0.0,3.047513461202632,1.0
ENSG00000276289,KCNE1B,0.0,-2.5992467267274044,0.055600259408220824,0.0,-0.22389601192683628,1.0,0.0,-0.27823927744512567,1.0,0.0,0.24285652389616352,1.0,0.0,0.9838079664974151,1.0,0.0,1.4214637684382767,1.0,0.3333333333333333,7.351140016103849,2.707096997801259e-08,0.0,1.829722735086059,1.0,0.0,2.028695433000465,1.0,0.0,2.8548683832602366,1.0
ENSG00000280800,FP671120.6,0.0,-1.5992467267274044,0.3991925383308168,0.0,0.7761039880731637,1.0,0.0,0.7217607225548743,1.0,0.06818181818181818,5.242856523896163,0.003335754256638362,0.0,1.983807966497415,1.0,0.0,2.4214637684382767,1.0,0.0,2.35114001610385,1.0,0.0,2.829722735086059,1.0,0.0,3.028695433000465,1.0,0.0,3.8548683832602366,1.0
ENSG00000280614,FP236383.4,0.0,-0.5992467267274044,1.0,0.0,1.7761039880731637,1.0,0.0,1.7217607225548743,1.0,0.022727272727272728,4.242856523896163,0.13030087656953368,0.0,2.983807966497415,1.0,0.0,3.4214637684382767,1.0,0.0,3.35114001610385,1.0,0.0,3.829722735086059,1.0,0.0,4.028695433000465,1.0,0.0,4.854868383260237,1.0
ENSG00000160201,U2AF1,0.0,-1.1842092274485605,0.6448145921001649,0.0,1.1911414873520076,1.0,0.0,1.1367982218337174,1.0,0.045454545454545456,4.827819024617319,0.021366730894737365,0.0,2.398845465776258,1.0,0.0,2.8365012677171197,1.0,0.0,2.7661775153826937,1.0,0.0,3.244760234364902,1.0,0.0,3.443732932279309,1.0,0.0,4.2699058825390805,1.0
ENSG00000241945,PWP2,0.0,-0.5992467267274044,1.0,0.0,1.7761039880731637,1.0,0.0,1.7217607225548743,1.0,0.022727272727272728,4.242856523896163,0.13030087656953368,0.0,2.983807966497415,1.0,0.0,3.4214637684382767,1.0,0.0,3.35114001610385,1.0,0.0,3.829722735086059,1.0,0.0,4.028695433000465,1.0,0.0,4.854868383260237,1.0
ENSG00000160221,GATD3A,0.0,-2.1842092274485605,0.15234394182913744,0.0,0.19114148735200764,1.0,0.0,0.13679822183371737,1.0,0.11363636363636363,5.827819024617319,0.00011161115859708661,0.0,1.3988454657762581,1.0,0.0,1.8365012677171197,1.0,0.0,1.7661775153826937,1.0,0.0,2.244760234364902,1.0,0.0,2.443732932279309,1.0,0.0,3.2699058825390805,1.0
