feature_type,feature_id,feature_name,index,genome,num_umis,num_reads,num_barcodes,dup_frac,num_umis_cells,num_reads_cells,num_barcodes_cells,dup_frac_cells
Antibody Capture,NLVPMVATV-A0201-CMV_Immudex,NLVPMVATV-A0201-CMV_Immudex,153,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Rat_IgG1_k_isotype_Ctrl,Rat_IgG1_k_isotype_Ctrl,154,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Rat_IgG2a_k_isotype_Ctrl,Rat_IgG2a_k_Isotype_Ctrl,155,,1,2,1,0.5,0,0,0,0.0
Antibody Capture,Rat_IgG2b_k_isotype_Ctrl,Rat_IgG2b_k_Isotype_Ctrl,156,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,TCRa_b,anti-human_TCR_a_or_b,157,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,TCRV_2,anti-human_TCR_V_2,158,,1,2,1,0.5,0,0,0,0.0
Antibody Capture,TCRV_7.2,anti-human_TCR_V_7.2,159,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,TIGIT,anti-human_TIGIT_VSTM3,160,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,TotalSeq_C0251_anti-human_Hashtag_1,TotalSeq_C0251_anti-human_Hashtag_1,161,,18,30,18,0.4,0,0,0,0.0
Antibody Capture,TotalSeq_C0252_anti-human_Hashtag_2,TotalSeq_C0252_anti-human_Hashtag_2,162,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,TotalSeq_C0253_anti-human_Hashtag_3,TotalSeq_C0253_anti-human_Hashtag_3,163,,1,1,1,0.0,0,0,0,0.0
Antibody Capture,TotalSeq_C0254_anti-human_Hashtag_4,TotalSeq_C0254_anti-human_Hashtag_4,164,,2,3,2,0.33333333333333337,0,0,0,0.0
Antibody Capture,TotalSeq_C0255_anti-human_Hashtag_5,TotalSeq_C0255_anti-human_Hashtag_5,165,,1,1,1,0.0,0,0,0,0.0
Antibody Capture,TotalSeq_C0256_anti-human_Hashtag_6,TotalSeq_C0256_anti-human_Hashtag_6,166,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,TotalSeq_C0257_anti-human_Hashtag_7,TotalSeq_C0257_anti-human_Hashtag_7,167,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,TotalSeq_C0258_anti-human_Hashtag_8,TotalSeq_C0258_anti-human_Hashtag_8,168,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,TotalSeq_C0259_anti-human_Hashtag_9,TotalSeq_C0259_anti-human_Hashtag_9,169,,11,19,10,0.42105263157894735,0,0,0,0.0
Antibody Capture,TotalSeq_C0260_anti-human_Hashtag_10,TotalSeq_C0260_anti-human_Hashtag_10,170,,0,0,0,0.0,0,0,0,0.0
